1576;2
1589;1
1763;1
1779;1
1542;1
1859;2
1846;1
1908;1
1933;1
3571;1
2058;2
4215;1
3328;1
1625;4
1628;1
1996;2
1565;1
1773;1
1796;1
3014;2
2593;1
1967;1
1971;1
1804;1
2052;3
2065;2
4308;1
1651;2
1652;2
3921;1
1363;1
1995;2
2862;1
4364;3
1538;1
1854;2
1862;1
1962;1
2023;1
2046;1
1660;1
3332;1
1638;1
1728;1
1404;1
3088;2
1469;1
1475;1
1585;2
1711;1
3560;1
1860;2
4251;2
1990;1
1853;1
4307;1
2082;1
4206;2
3269;1
1360;1
1388;1
1452;3
4518;1
3127;2
3711;3
2480;1
2388;1
1487;1
2412;1
1895;1
2019;1
1666;1
4218;1
1587;1
4110;3
4270;1
3563;2
1794;1
3558;1
4366;2
1880;2
1904;1
4375;1
1988;1
2005;1
1669;1
1747;1
1447;2
1446;1
1581;2
4523;2
4493;1
3871;2
1979;1
2864;1
2353;1
2070;1
1727;1
1644;2
1395;2
1396;1
1994;1
4514;3
4521;2
2861;1
1619;1
4359;1
1698;1
1775;3
2051;1
1665;1
2903;1
3287;2
2493;1
1867;1
3707;2
1510;1
1783;2
1788;2
1539;1
1901;1
1649;1
3426;3
1476;1
2757;1
3009;1
4368;1
1847;1
2075;1
3203;1
2031;1
2036;3
1661;1
3801;1
3107;1
4195;1
4301;1
1592;1
1591;1
1593;2
1607;2
2315;2
3306;1
1968;1
2025;1
4550;1
4309;1
2436;2
1403;1
4516;2
1477;1
1573;1
1579;1
2575;2
2119;1
1800;1
1936;2
1965;1
1970;1
2021;1
3827;1
1405;1
1408;2
1479;1
3368;2
1595;1
2753;1
2911;1
1774;1
1798;1
1902;1
2039;1
2069;2
3420;1
2099;1
1599;1
1616;1
2577;1
3397;1
4190;1
1957;1
2045;1
4306;1
4212;2
3798;1
1364;1
1368;3
1420;1
1742;1
1560;1
1612;1
2297;2
2244;1
1795;1
1639;2
3830;2
1367;1
1453;1
1481;1
3292;2
2509;2
1598;1
1609;1
1900;1
1925;1
1668;1
2440;2
1643;1
3112;1
1582;1
1615;1
4525;2
3877;1
3565;1
1780;1
4336;1
2139;2
1955;1
2062;1
2438;2
1499;1
2504;1
4367;1
4275;1
4370;1
2592;1
1977;2
1658;1
3803;1
2922;1
3272;2
1382;1
1407;1
1462;1
3367;1
2507;1
1602;1
2754;1
1952;1
1790;1
4547;1
2924;1
1457;1
4297;1
1899;1
1903;1
4373;1
2594;1
2457;1
2421;1
1958;1
1821;1
2017;1
4216;1
2902;1
3326;1
1397;1
1443;1
3874;1
4289;1
2027;1
2056;1
2067;1
2439;1
1468;1
1460;1
1604;2
3870;1
1892;1
1924;2
2900;1
1629;1
1730;1
1393;1
1398;1
3362;2
1484;1
2373;1
2339;1
4287;1
4247;1
2357;1
2028;1
2931;2
3274;1
3093;1
2117;1
2580;1
4112;1
3876;1
3561;1
2374;1
2077;1
2007;1
2059;1
2063;1
4305;1
1726;2
1732;1
1361;1
1384;1
1597;1
1610;1
1714;1
4524;1
1769;1
1814;1
4379;1
1500;1
1866;1
2505;1
1770;1
1776;1
2300;1
2901;1
1359;1
1378;1
1444;1
2118;1
1567;1
1564;1
1620;1
3144;1
1890;1
4544;1
