localidad,departamento
San Ricardo,Iriondo
Santa Teresa,Iriondo
Serodino,Iriondo
Totoras,Iriondo
Villa Eloísa,Iriondo
Alto Verde,La Capital
Ángel Gallardo,La Capital
Apeadero Leyes,La Capital
Apeadero Río Salado,La Capital
Aromos,La Capital
Arroyo Aguiar,La Capital
Arroyo Leyes,La Capital
Ascochinga,La Capital
Cabal,La Capital
Campo Andino,La Capital
Candioti,La Capital
Colastiné Norte,La Capital
Colastiné Sur,La Capital
Constituyente,La Capital
Emilia,La Capital
Estación Cabal,La Capital
Estación Emilia,La Capital
Iriondo,La Capital
La Guardia,La Capital
Laguna Paiva,La Capital
Lassaga,La Capital
Llambi Campbell,La Capital
Manucho,La Capital
Monte Vera,La Capital
Nelson,La Capital
Recreo,La Capital
Rincón Potrero,La Capital
San José Del Rincón,La Capital
San Pedro,La Capital
Santa Fe,La Capital
Santo Tomé,La Capital
Sauce Viejo,La Capital
Yamandú,La Capital
Adolfo Alsina,Las Colonias
Colonia Cavour,Las Colonias
Colonia Ituzaingó,Las Colonias
Colonia Nueva,Las Colonias
Colonia Pujol,Las Colonias
Colonia Reina Margarita,Las Colonias
Colonia Rodríguez,Las Colonias
Colonia San José,Las Colonias
Cululú,Las Colonias
Elisa,Las Colonias
Empalme San Carlos,Las Colonias
Esperanza,Las Colonias
Felicia,Las Colonias
Franck,Las Colonias
Grutly Norte,Las Colonias
Grutly Sur,Las Colonias
Hipatia,Las Colonias
Humboldt,Las Colonias
Ing.  Baosi,Las Colonias
Jacinto L.  Aráuz,Las Colonias
La Pelada,Las Colonias
Las Tunas,Las Colonias
Los Corrales,Las Colonias
Los Paraísos,Las Colonias
María Luisa,Las Colonias
Matilde,Las Colonias
Nuevo Torino,Las Colonias
Pilar,Las Colonias
Plaza Matilde,Las Colonias
Progreso,Las Colonias
Providencia,Las Colonias
Pueblo Abc,Las Colonias
Pujato Norte,Las Colonias
Rivadavia,Las Colonias
Sa Pereira,Las Colonias
San Agustín,Las Colonias
San Carlos Centro,Las Colonias
San Carlos Norte,Las Colonias
San Carlos Sud,Las Colonias
San Jerónimo Del Sauce,Las Colonias
San Jerónimo Norte,Las Colonias
San Mariano,Las Colonias
San Wendelino,Las Colonias
Santa Clara De Buena Vista,Las Colonias
Santa María Centro,Las Colonias
Santa María Norte,Las Colonias
Santo Domingo,Las Colonias
Sarmiento,Las Colonias
Soutomayor,Las Colonias
T. Alva. Edison,Las Colonias
A. Pini,Nueve de Julio
Campo Garay (Juan de Garay),Nueve de Julio
Colonia Aburlich,Nueve de Julio
Colonia El Amargo,Nueve de Julio
