departamento,departamento
Belgrano,Belgrano
Caseros,Caseros
Castellanos,Castellanos
Constitución,Constitución
Garay,Garay
General López,General López
General Obligado,General Obligado
Iriondo,Iriondo
La Capital,La Capital
Las Colonias,Las Colonias
Nueve de Julio,Nueve de Julio
9 de Julio,Nueve de Julio
Rosario,Rosario
San Cristóbal,San Cristóbal
San Javier,San Javier
San Jerónimo,San Jerónimo
San Justo,San Justo
San Lorenzo,San Lorenzo
San Martín,San Martín
Vera,Vera
